PFEI,Agency,Release Date
"<a href=""https://www.google.com/?zx=1778271623724l"">Construction Put in Place</a>",Census,"<a href=""https://www.census.gov/construction/c30/current/index.html"">April 1</a>"
"<a href=""https://www.census.gov/construction/nrc/index.html"">New Residential Construction</a>",Census,"<a href=""https://www.census.gov/construction/nrc/current/index.html"">April 17</a>"
"<a href=""https://www.census.gov/construction/nrs/index.html"">New Residential Sales</a>",Census,23-Apr
"<a href=""https://www.census.gov/wholesale/index.html"">Monthly Wholesale Trade</a>",Census,"<a href=""https://www.census.gov/econ/indicators/current/index.html"">April 9</a>"
"<a href=""https://www.census.gov/econ/indicators/index.html"">Advance Monthly Sales for Retail and Food Services</a>",Census,"<a href=""https://www.census.gov/econ/indicators/current/index.html"">April 16</a>"
"<a href=""https://www.census.gov/foreign-trade/index.html"">U.S. International Trade in Goods and Service</a>",Census,2-Apr
"<a href=""https://www.census.gov/foreign-trade/Press-Release/steel_index.html"">U.S. Imports for Consumption of Steel</a>",Census,23-Apr
"<a href=""https://www.census.gov/mtis/index.html"">Manufacturing and Trade: Inventories and Sales</a>",Census,"<a href=""https://www.census.gov/mtis/current/index.html"">April 16</a>"
"<a href=""https://www.census.gov/manufacturing/m3/index.html"">Manufacturers' Shipments, Inventories and Orders</a>",Census,"<a href=""https://www.census.gov/manufacturing/m3/adv/current/index.html"">April 2</a>"
"<a href=""https://www.census.gov/manufacturing/m3/index.html"">Advance Report on Durable Goods</a>",Census,"<a href=""https://www.census.gov/manufacturing/m3/adv/current/index.html"">April 24</a>"
"<a href=""https://www.census.gov/econ/qfr/index.html"">Quarterly Financial Report – Manufacturing</a>",Census,--
"<a href=""https://www.census.gov/econ/qfr/index.html"">Quarterly Financial Report – Retail Trade</a>",Census,--
"<a href=""https://www.census.gov/housing/hvs/index.html"">Housing Vacancies</a>",Census,"<a href=""https://www.census.gov/housing/hvs/current/index.html"">April 28</a>"
"<a href=""https://www.census.gov/services/index.html"">Quarterly Services</a>",Census,--
"<a href=""https://www.bls.gov/cps/"">The Employment Situation</a>",Bureau of Labor Statistics,"<a href=""https://www.bls.gov/news.release/empsit.nr0.htm"">April 3</a>"
"<a href=""https://www.bls.gov/ppi/"">Producer Price Indexes</a>",Bureau of Labor Statistics,"<a href=""https://www.bls.gov/news.release/ppi.nr0.htm"">April 14</a>"
"<a href=""https://www.bls.gov/cpi/"">Consumer Price Index</a>",Bureau of Labor Statistics,"<a href=""https://www.bls.gov/news.release/cpi.nr0.htm"">April 10</a>"
"<a href=""https://www.bls.gov/ces/"">Real Earnings</a>",Bureau of Labor Statistics,"<a href=""https://www.bls.gov/news.release/realer.nr0.htm"">April 10</a>"
"<a href=""https://www.bls.gov/productivity/"">Productivity and Costs</a>",Bureau of Labor Statistics,--
"<a href=""https://www.bls.gov/eci/"">Employment Cost Index</a>",Bureau of Labor Statistics,"<a href=""https://www.bls.gov/news.release/eci.nr0.htm"">April 30</a>"
"<a href=""https://www.bls.gov/mxp/"">U.S. Import and Export Price Indexes</a>",Bureau of Labor Statistics,"<a href=""https://www.bls.gov/news.release/ximpim.nr0.htm"">April 15</a>"
